0:-369,-2273,-3768,12935,-10670,8518,-2846,1705,-883,-5414 
1:24197,-3405,-4081,-1979,-8952,3594,370,-1968,-6400,-4446 
2:-5199,-2139,-1438,-93,15801,-4035,-4426,5782,-9195,1933 
3:-7462,16100,3240,-727,-1331,-4216,-6003,-1813,5054,-5908 
4:-5752,1033,-10139,-7866,8895,-5984,-5778,7256,-3054,18386 
5:207,-4489,13787,-4277,-3573,-4070,-1688,-2049,-1522,4608 
6:-9857,13605,-990,3524,-3845,-243,-567,-1828,-1065,-1755 
7:841,-7539,1417,18980,-5759,548,-12768,-7707,9376,-457 
8:-7729,14459,-4750,-111,-2267,1282,-1263,1197,-2937,-913 
9:-5334,-1812,-3216,-10493,17652,1889,1478,-1353,-2295,433 
10:-1802,2086,-557,18562,-13018,2253,-6874,-3632,2009,-2081 
11:-3960,6354,2662,-6322,2444,11497,-3867,-3645,1432,-9655 
12:-3085,-2664,801,31681,-9806,8103,-8203,-7010,52,-12922 
13:182,-3012,4520,-12278,3941,-7255,21451,-6396,-4475,337 
14:-7627,15804,-4501,-212,-3023,1352,-169,-83,-1243,-3333 
15:-911,-3065,-10529,-9978,5709,-5154,-7628,20226,-6522,14799 
16:1534,-4121,11987,727,728,-7996,377,2749,-4442,-4617 
17:-4359,4683,-1297,-1308,-4140,-1540,-6256,-2746,11876,2045 
18:-641,505,-2545,-2797,-610,3829,10208,-4499,-3758,-2720 
19:-7055,4239,-7716,-393,-1925,-1773,-4923,9691,-1850,8660 
20:-6146,-6762,1964,2897,20467,-11145,-1570,-1718,-5509,4417 
21:23557,-824,-4406,67,-7654,6864,-4558,-1309,-7882,-6912 
22:-6457,1887,-2806,-5813,5505,-3598,-1334,3895,-1034,6729 
23:-7835,15588,3359,-709,-505,-5490,-6259,-844,4478,-4848 
24:-1714,4675,2794,-280,-8554,1608,5641,596,-6048,-1765 
25:5738,-5259,18512,12302,-14473,1248,-6112,-16447,15422,-13978 
26:-8664,294,-7013,-902,9528,473,-4498,4845,-3806,6697 
27:1822,-9764,1247,34376,-15733,2964,-18275,-947,9928,-8685 
